rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,train/approx_kl,train/loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/clip_range
-13.056874999999998,90,8192,90,1,120.0,,,,,,,,,,
-13.0715,184,16384,88,2,120.0,0.007419176,0.027982618659734726,0.044586181640625,-0.010131717,0.0003,0.806118537497241,-2.1910120006650686,4,-0.0033679028201731853,0.2
-13.3465,291,24576,84,3,120.0,0.008507941,0.16005326807498932,0.089019775390625,0.10474682,0.0003,0.5743319588946179,-2.1674308478832245,8,-0.0032193886654567905,0.2
-13.005100000000002,394,32768,83,4,118.91,0.00791184,0.28329166769981384,0.042022705078125,0.15217656,0.0003,0.8348917497787625,-2.179759081453085,12,-0.0046959699284343515,0.2
-13.2962,520,40960,78,5,120.0,0.007472581,0.6302629709243774,0.0650634765625,0.234559,0.0003,1.4314951710402966,-2.177618842571974,16,-0.007833016923541436,0.2
-13.166799999999999,642,49152,76,6,120.0,0.009268651,0.40750643610954285,0.08587646484375,0.3473044,0.0003,1.222739418502897,-2.1757000107318163,20,-0.01011761391600885,0.2
-13.091599999999998,744,57344,77,7,120.0,0.012168463,0.5131741166114807,0.112335205078125,0.4007823,0.0003,1.299229294527322,-2.167295925319195,24,-0.010138472076505423,0.2
-13.107499999999998,879,65536,74,8,120.0,0.011789583,0.4818507134914398,0.120941162109375,0.35793775,0.0003,1.3253741934895515,-2.1602204386144876,28,-0.013008372043259442,0.2
-13.147100000000002,1024,73728,71,9,120.0,0.014370826,0.5907067656517029,0.15679931640625,0.34904104,0.0003,1.3354474464431405,-2.145800180733204,32,-0.017729766750562703,0.2
-13.253799999999998,1157,81920,70,10,120.0,0.015958503,0.46219223737716675,0.16802978515625,0.3326699,0.0003,1.474709641188383,-2.1367315631359816,36,-0.017921678467246238,0.2
-13.207699999999997,1271,90112,70,11,120.0,0.016261188,0.49371716380119324,0.206085205078125,0.38042176,0.0003,1.639673468656838,-2.1311984807252884,40,-0.019282089713669848,0.2
-12.838,1402,98304,70,12,120.0,0.017426118,0.39763161540031433,0.196990966796875,0.3796587,0.0003,1.4572395039722323,-2.119617812335491,44,-0.021370183683757205,0.2
-13.154399999999999,1523,106496,69,13,120.0,0.017360765,0.6442118287086487,0.215850830078125,0.3951375,0.0003,1.4629977918229997,-2.128732094541192,48,-0.02097352868440794,0.2
-13.089700000000002,1664,114688,68,14,120.0,0.01682521,0.5704418420791626,0.180389404296875,0.42692012,0.0003,1.4950826605781913,-2.122360300272703,52,-0.01784394968126435,0.2
-12.9903,1819,122880,67,15,119.61,0.02064692,0.32470470666885376,0.2318115234375,0.43067557,0.0003,1.2201860728673637,-2.1120795756578445,56,-0.024020586690312484,0.2
-12.899500000000003,1932,131072,67,16,119.61,0.017917346,0.4576368033885956,0.2105712890625,0.44052088,0.0003,1.4286720789968967,-2.101835537701845,60,-0.021496382953046123,0.2
-13.1217,2079,139264,66,17,120.0,0.017720792,0.3726992607116699,0.218658447265625,0.4394824,0.0003,1.3143395488150418,-2.0890061482787132,64,-0.022146026502014138,0.2
-13.071999999999997,2236,147456,65,18,120.0,0.01761509,0.5335603356361389,0.203765869140625,0.3868296,0.0003,1.5607564160600305,-2.0620494466274977,68,-0.021331605050363578,0.2
-12.951699999999999,2374,155648,65,19,120.0,0.019607168,0.41356998682022095,0.232391357421875,0.43217462,0.0003,1.2402190058492124,-2.056297428905964,72,-0.021919714174146065,0.2
-13.1688,2517,163840,65,20,120.0,0.018753542,0.496622771024704,0.21356201171875,0.39247185,0.0003,1.7037266953848302,-2.0530071053653955,76,-0.018958720906084636,0.2
-12.547899999999997,2657,172032,64,21,118.3,0.018569484,0.6760327816009521,0.18701171875,0.31146002,0.0003,1.6154805584810674,-2.0469525828957558,80,-0.01747492221329594,0.2
-12.765000000000004,2878,180224,62,22,118.3,0.018898323,0.46629762649536133,0.209808349609375,0.37125367,0.0003,1.7105957753956318,-2.0355086755007505,84,-0.020335450499260332,0.2
-13.423599999999999,3009,188416,62,23,120.0,0.018150853,0.5878528356552124,0.21124267578125,0.4066254,0.0003,1.3532892889343202,-2.037151101976633,88,-0.025264056399464607,0.2
-13.4159,3152,196608,62,24,120.0,0.01814688,0.5862087607383728,0.186614990234375,0.3731516,0.0003,1.45897466968745,-2.033697289414704,92,-0.022111248414148577,0.2
-13.0074,3305,204800,61,25,119.4,0.019555341,0.4310367703437805,0.213531494140625,0.43699235,0.0003,1.4474477008916438,-2.017146622762084,96,-0.023890212600235827,0.2
-13.2565,3434,212992,62,26,120.0,0.018254109,0.5205293297767639,0.207733154296875,0.3709709,0.0003,1.4375969101674855,-1.9874129183590412,100,-0.021056960373243783,0.2
-13.063500000000001,3593,221184,61,27,119.35,0.019198712,0.44497445225715637,0.221405029296875,0.44961065,0.0003,1.2436349354684353,-2.0025821635499597,104,-0.02516470826594741,0.2
