time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/loss
6656,779,8,0.006499999999999986,11.9,13,48,0.2,-2.119717389345169,-0.004599384497851133,0.0020176852,0.0,0.0003,5.505363404750824,0.03864860534667969,2.5926122665405273
7168,832,8,0.44985000000000014,9.83,14,52,0.2,-2.102244794368744,-0.0014426083071157336,0.0011055268,0.0,0.0003,10.187579572200775,0.03906124830245972,4.06984281539917
7680,882,8,0.39235000000000014,12.53,15,56,0.2,-2.0873863697052,-0.0012890584766864777,0.00064015726,0.0,0.0003,5.554876208305359,0.041828453540802,1.833691120147705
8192,933,8,0.4593,12.94,16,60,0.2,-2.075855016708374,-0.0006939779268577695,0.00035104854,0.0,0.0003,5.136622428894043,0.017803549766540527,3.2460110187530518
8704,991,8,0.25210000000000005,12.78,17,64,0.2,-2.070994257926941,0.0007979769725352526,0.00013392535,0.0,0.0003,11.92233431339264,0.024538815021514893,5.452234268188477
9216,1050,8,0.6568,11.04,18,68,0.2,-2.0680809915065765,-0.00020397722255438566,7.0412294e-05,0.0,0.0003,4.083682060241699,0.04712432622909546,1.9213653802871704
9728,1104,8,0.5395500000000002,11.09,19,72,0.2,-2.0626404881477356,-0.0002855245256796479,7.673283e-05,0.0,0.0003,14.094389915466309,0.04798310995101929,6.960951328277588
10240,1156,8,0.28195000000000003,11.41,20,76,0.2,-2.0595748722553253,-0.0005480616819113493,0.00012841856,0.0,0.0003,5.384666919708252,0.07772374153137207,2.9609100818634033
10752,1211,8,0.7602999999999999,11.14,21,80,0.2,-2.062974661588669,-0.0007533605676144361,0.0003916392,0.0,0.0003,4.60345846414566,0.12113183736801147,2.4317352771759033
11264,1266,8,0.7527000000000001,9.06,22,84,0.2,-2.06043940782547,-0.00015753612387925386,0.0002456489,0.0,0.0003,12.659084677696228,0.0776410698890686,6.446228981018066
11776,1318,8,-0.0008499999999999585,11.97,23,88,0.2,-2.0561447739601135,-0.0010277422843500972,0.00013523828,0.0,0.0003,5.5378111600875854,0.05994921922683716,1.9942682981491089
12288,1372,8,-0.7223,12.46,24,92,0.2,-2.052130341529846,-0.000909204944036901,0.00027343398,0.0,0.0003,3.1007943153381348,0.07859516143798828,1.1195545196533203
12800,1426,8,-0.672,12.0,25,96,0.2,-2.041897773742676,-0.0029709338559769094,0.0016306991,0.0,0.0003,1.419953815639019,0.1590220332145691,0.41125673055648804
13312,1480,8,-0.6909000000000002,12.18,26,100,0.2,-2.0022312104701996,-0.003436885424889624,0.0034989472,0.0,0.0003,5.50385582447052,0.05464273691177368,2.6442480087280273
13824,1535,9,-0.7181000000000002,12.42,27,104,0.2,-1.9571261703968048,-0.0012378076207824051,0.001405343,0.0,0.0003,4.651573956012726,0.1874779462814331,2.5999109745025635
14336,1586,9,-1.1043499999999997,15.07,28,108,0.2,-1.924661323428154,-0.0010296331602148712,0.0007384167,0.0,0.0003,3.7688174545764923,0.13377118110656738,2.1158955097198486
14848,1639,9,-0.11604999999999999,14.21,29,112,0.2,-1.8964819014072418,6.537826266139746e-05,0.00048196898,0.0,0.0003,1.2682944908738136,0.31957685947418213,0.28895774483680725
15360,1692,9,-0.3625499999999999,15.51,30,116,0.2,-1.8871146440505981,0.000196739099919796,0.00025095826,0.0,0.0003,12.82667362689972,0.11236560344696045,5.921618461608887
15872,1746,9,-0.030799999999999928,13.36,31,120,0.2,-1.8868757635354996,-0.00021191069390624762,9.7884214e-05,0.0,0.0003,3.9940382838249207,0.318637490272522,2.136512517929077
16384,1799,9,-0.04970000000000012,13.54,32,124,0.2,-1.888359248638153,-0.0009862195583991706,0.00038267905,0.0,0.0003,5.629795074462891,0.20810043811798096,2.2214674949645996
16896,1852,9,-0.27055,13.51,33,128,0.2,-1.882377877831459,-0.0017286994261667132,0.0008240696,0.0,0.0003,4.8696131110191345,0.1913575530052185,2.851306200027466
17408,1906,9,-0.2703,12.46,34,132,0.2,-1.8844612836837769,0.0011274876305833459,0.0010697581,0.0,0.0003,3.318491905927658,0.46497642993927,1.189049482345581
17920,1959,9,0.036499999999999984,12.7,35,136,0.2,-1.8870373219251633,0.0003303922712802887,0.00010289601,0.0,0.0003,7.111326992511749,0.2785295844078064,2.725687026977539
18432,2012,9,0.6749,13.02,36,140,0.2,-1.8874006867408752,-0.0010145956184715033,0.00027992064,0.0,0.0003,6.024960517883301,0.4022188186645508,3.214390516281128
18944,2066,9,0.7238999999999999,10.42,37,144,0.2,-1.9009133279323578,-0.0014328379184007645,0.00096248195,0.0,0.0003,7.829397737979889,0.29546040296554565,3.5462534427642822
19456,2119,9,0.4614000000000001,12.92,38,148,0.2,-1.9240678697824478,0.000694901798851788,0.00083143124,0.0,0.0003,8.375253200531006,0.31335383653640747,4.652840614318848
19968,2176,9,0.45135000000000014,8.73,39,152,0.2,-1.930534541606903,-0.0008378404891118407,0.000407991,0.0,0.0003,4.256186097860336,0.5275489687919617,2.233365535736084
20480,2230,9,0.5185500000000001,8.09,40,156,0.2,-1.923299416899681,-0.0013942300574854016,0.00041741505,0.0,0.0003,6.395859360694885,0.3509446382522583,3.15594482421875
