rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/explained_variance,train/n_updates,train/clip_fraction,train/learning_rate,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/loss,train/entropy_loss
0.5036799999999999,9.04,18,1,54,502788,,,,,,,,,,
1.12616,8.48,50,2,40,503812,0.1,0.1965518593788147,984,0.0,0.0003,0.00011977722,1.1741611063480377,-0.0005096008535474539,0.5656284093856812,-1.487631469964981
0.46404,8.37,81,3,37,504836,0.1,0.2951940894126892,988,0.0,0.0003,0.0003260275,1.0594549477100372,-0.00025353615637868643,0.514564037322998,-1.490890920162201
0.11919999999999996,11.6,110,4,37,505860,0.1,0.27876055240631104,992,0.0,0.0003,0.00020282442,1.164176732301712,-5.746789975091815e-05,0.5646493434906006,-1.4935181736946106
0.8030799999999998,11.49,141,5,36,506884,0.1,0.6636124551296234,996,0.0,0.0003,0.00011213374,0.560250923037529,-0.00025891209952533245,0.25721874833106995,-1.4944726526737213
0.5999199999999999,10.26,170,6,36,507908,0.1,0.38739538192749023,1000,0.0,0.0003,7.4810116e-05,1.0108115673065186,-5.4680975154042244e-05,0.4849019944667816,-1.4946960806846619
0.4940800000000001,11.24,199,7,35,508932,0.1,0.3755307197570801,1004,0.0,0.0003,0.00020922755,0.996997058391571,-0.0006321893306449056,0.4823724031448364,-1.4943868517875671
0.6207600000000002,9.03,232,8,35,509956,0.1,0.5058163404464722,1008,0.0,0.0003,0.00018856919,0.9930654168128967,5.899195093661547e-05,0.46930983662605286,-1.4927273094654083
0.8990799999999999,8.49,265,9,34,510980,0.1,0.17148280143737793,1012,0.0,0.0003,7.698458e-05,1.3674724102020264,-0.00013851316180080175,0.6617099046707153,-1.4900189340114594
0.31376,9.78,297,10,34,512004,0.1,0.15990960597991943,1016,0.0,0.0003,4.754687e-05,1.507958471775055,-8.644547779113054e-05,0.7445800304412842,-1.4864068925380707
-0.48940000000000006,13.05,327,11,34,513028,0.1,0.3540620803833008,1020,0.0,0.0003,2.6022026e-05,0.8815136402845383,-9.743450209498405e-05,0.41547515988349915,-1.484227329492569
-0.1910000000000001,9.25,361,12,33,514052,0.1,0.31638383865356445,1024,0.0,0.0003,2.4604553e-05,0.6411418318748474,-7.352366810664535e-05,0.3020465672016144,-1.4829288125038147
0.77164,9.67,393,13,33,515076,0.1,0.47504955530166626,1028,0.0,0.0003,3.93659e-05,0.7492402046918869,0.00011250923853367567,0.36116543412208557,-1.4813043177127838
0.5094,7.95,425,14,33,516100,0.1,0.4983011484146118,1032,0.0,0.0003,2.0852603e-05,0.9256301075220108,-0.0001416460145264864,0.4433971345424652,-1.480151355266571
0.7477199999999999,9.91,456,15,33,517124,0.1,0.24426031112670898,1036,0.0,0.0003,5.8391946e-05,1.0990375876426697,0.00019869685638695955,0.5352178812026978,-1.4799377024173737
-0.07287999999999999,13.36,488,16,33,518148,0.1,0.5865411460399628,1040,0.0,0.0003,3.908167e-05,0.6575879454612732,-0.00015626242384314537,0.308368057012558,-1.479756087064743
0.19491999999999998,14.01,520,17,33,519172,0.1,0.349056601524353,1044,0.0,0.0003,3.9201987e-05,0.8421515375375748,-9.663263335824013e-05,0.40705302357673645,-1.4788500666618347
0.30695999999999996,10.88,552,18,33,520196,0.1,0.3676108121871948,1048,0.0,0.0003,0.00013918767,1.250080794095993,-0.000207109609618783,0.6034911274909973,-1.4767186045646667
0.043319999999999984,10.21,582,19,33,521220,0.1,0.252297580242157,1052,0.0,0.0003,0.00012617151,0.7207919955253601,-0.0003479871666058898,0.3434702157974243,-1.4761388301849365
0.6047199999999999,9.16,613,20,33,522244,0.1,0.3337972164154053,1056,0.0,0.0003,0.00047040987,0.7087671160697937,-0.0002843141555786133,0.3395881652832031,-1.475600153207779
1.1997200000000001,10.91,642,21,33,523268,0.1,0.34271568059921265,1060,0.0,0.0003,0.00038682984,0.964149683713913,-0.0010052036959677935,0.4563269019126892,-1.4722266793251038
0.4951600000000002,11.23,673,22,33,524292,0.1,0.22111940383911133,1064,0.0,0.0003,0.00023699872,1.1569491028785706,4.279217682778835e-05,0.5669249892234802,-1.468123883008957
0.28859999999999997,11.05,704,23,33,525316,0.1,0.3683464527130127,1068,0.0,0.0003,0.0001407839,1.0099240839481354,-0.00017341668717563152,0.486290842294693,-1.4653049409389496
0.53884,9.77,735,24,33,526340,0.1,0.19675016403198242,1072,0.0,0.0003,0.000244651,0.9679692387580872,-0.0004550153389573097,0.46830588579177856,-1.4645886719226837
1.04116,8.23,768,25,33,527364,0.1,0.5157832205295563,1076,0.0,0.0003,0.00033747667,1.028632014989853,-0.00044721784070134163,0.4898497760295868,-1.466080129146576
0.9925599999999999,8.68,800,26,33,528388,0.1,0.4894747734069824,1080,0.0,0.0003,0.0003099033,1.0774973332881927,-0.00042211031541228294,0.5246367454528809,-1.4677262604236603
1.3126799999999996,7.79,832,27,33,529412,0.1,0.39844805002212524,1084,0.0,0.0003,0.00030132185,1.0207171738147736,-0.00018656905740499496,0.4858720600605011,-1.4710356891155243
0.66924,6.47,864,28,33,530436,0.1,0.5504761934280396,1088,0.0,0.0003,0.000121108955,0.9773774445056915,-2.4256762117147446e-05,0.4712318480014801,-1.473904937505722
-0.12376000000000004,9.72,896,29,33,531460,0.1,0.519848108291626,1092,0.0,0.0003,0.00012584461,0.9219289720058441,-0.00021115364506840706,0.4453500807285309,-1.4783722758293152
