rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,train/entropy_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance
-5.2732399999999995,7,89.24,6622,24,49152,-2.1451938524842262,0.0023044888,0.0003,4.605405516922474,0.2,0.0,1.7561689615249634,92,-7.218090468086302e-05,0.24295705556869507
-4.00118,7,83.18,6914,25,51200,-2.1113523319363594,0.0028602562,0.0003,4.467618815600872,0.2,0.0006103515625,1.8860825300216675,96,-0.0013943289668532088,0.1654658317565918
-4.91992,7,87.92,7194,26,53248,-2.0893175080418587,0.0013446044,0.0003,8.009179800748825,0.2,0.0,3.1418144702911377,100,-0.0004204072174616158,0.23132359981536865
-5.399489999999999,7,90.49,7479,27,55296,-2.0889045745134354,0.0006326779,0.0003,5.373621381819248,0.2,0.0,2.4351038932800293,104,-0.0012726123968604952,0.45752233266830444
-4.733159999999999,7,87.16,7762,28,57344,-2.0823308527469635,0.0029181505,0.0003,3.467244729399681,0.2,0.0,2.0765154361724854,108,-0.0016511374415131286,0.7431496977806091
-4.4444799999999995,7,86.48,8045,29,59392,-2.086019955575466,0.0022408743,0.0003,6.006148062646389,0.2,0.0,3.461477279663086,112,-0.0010516958282096311,0.4873509407043457
-5.165259999999998,7,89.26,8329,30,61440,-2.093268543481827,0.0008033208,0.0003,7.1870797872543335,0.2,0.0,4.449637413024902,116,0.0001243491715285927,0.4618474245071411
-5.099609999999999,7,88.61,8621,31,63488,-2.094615302979946,0.0018839383,0.0003,5.681954436004162,0.2,0.00048828125,2.812148332595825,120,-0.0008556352404411882,0.09171825647354126
-5.418589999999999,7,89.59,8907,32,65536,-2.0903822630643845,0.0043051466,0.0003,7.718494117259979,0.2,0.0028076171875,4.041889667510986,124,-0.002219972579041496,0.13813930749893188
-5.871899999999999,7,91.9,9193,33,67584,-2.107464872300625,0.010476125,0.0003,3.8709357008337975,0.2,0.037841796875,1.649435043334961,128,-0.0036230334007996134,0.2617241144180298
-6.111089999999999,7,92.09,9477,34,69632,-2.097920745611191,0.008454969,0.0003,4.376523591578007,0.2,0.0294189453125,2.0912551879882812,132,-0.0038133550551719964,0.38589584827423096
-6.5734900000000005,7,94.49,9770,35,71680,-2.0834175646305084,0.0023350818,0.0003,5.299140386283398,0.2,0.0,1.793994665145874,136,-0.0010782410099636763,0.37151139974594116
-6.522990000000001,7,93.99,10053,36,73728,-2.0969575569033623,0.005215144,0.0003,4.2030015885829926,0.2,0.011962890625,2.4135079383850098,140,-0.0013067541585769504,0.19625365734100342
-5.709289999999999,7,90.29,10351,37,75776,-2.1055371314287186,0.0011551873,0.0003,6.9699859619140625,0.2,0.0,2.487736463546753,144,-0.0007783145119901747,0.4271007776260376
-5.86685,7,91.85,10636,38,77824,-2.111386224627495,0.0005988488,0.0003,6.962207466363907,0.2,0.0,3.619832992553711,148,-7.875158917158842e-05,0.3179214596748352
-5.84059,7,91.59,10915,39,79872,-2.1168412268161774,0.00059253664,0.0003,6.134669318795204,0.2,0.0,2.589411735534668,152,-0.0002813593455357477,0.6540599465370178
-5.70644,7,92.44,11194,40,81920,-2.115249991416931,0.00089248456,0.0003,5.094529487192631,0.2,0.0,2.787982940673828,156,-0.0012158442696090788,0.5949257910251617
-6.00219,7,93.19,11481,41,83968,-2.0998045206069946,0.003312984,0.0003,6.974376313388348,0.2,0.0,4.273190021514893,160,-0.002206317411037162,0.562050849199295
-6.806800000000001,7,96.8,11766,42,86016,-2.0923882871866226,0.002552718,0.0003,4.139439985156059,0.2,0.0,2.4625580310821533,164,-0.0012917194690089673,0.49050647020339966
-5.7608,7,90.8,12053,43,88064,-2.093701332807541,0.0035514373,0.0003,3.5065398290753365,0.2,0.0,2.7370665073394775,168,-0.0014023237599758431,0.6408022344112396
-5.96464,7,90.64,12345,44,90112,-2.0657455399632454,0.0045848126,0.0003,5.194321520626545,0.2,0.00439453125,2.458341121673584,172,-0.003048077480343636,0.6275409758090973
-5.968679999999999,7,90.68,12631,45,92160,-2.051932044327259,0.0019351215,0.0003,6.6388843059539795,0.2,0.0,1.9709348678588867,176,-0.000540037639439106,0.3650725483894348
-5.76475,7,89.75,12920,46,94208,-2.0437474623322487,0.006067393,0.0003,5.977081164717674,0.2,0.0029296875,3.247803211212158,180,-0.0030583072948502377,0.36835068464279175
-5.59213,7,89.13,13207,47,96256,-2.052060477435589,0.0074600303,0.0003,7.197703927755356,0.2,0.0301513671875,4.384991645812988,184,-0.0023415757750626653,0.1156315803527832
-4.76135,7,86.35,13496,48,98304,-2.0446836575865746,0.007281514,0.0003,6.369142696261406,0.2,0.027587890625,3.221727132797241,188,-0.0025063955545192584,0.3998134136199951
-5.4297,7,89.7,13798,49,100352,-2.0507045909762383,0.008248076,0.0003,7.5775104612112045,0.2,0.0382080078125,3.730844736099243,192,-0.0048102396103786305,0.45898228883743286
