time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,eval/mean_ep_length,eval/mean_reward
,,,,,687904,0.2366943359375,-1.6263914573937654,0.020483945,0.0003,332,1.6334727867506444,0.6623704135417938,0.2,-0.008437850516202161,0.45066285133361816,60.8,-1.5799999999999996
222,22,80.13,-5.101299999999999,808,688128,,,,,,,,,,,,
223,23,80.01,-5.4172,843,696320,0.242095947265625,-1.640038755722344,0.022256251,0.0003,336,1.6290020402520895,0.6252024471759796,0.2,-0.009432791150175035,0.45546743273735046,,
224,24,75.19,-3.3961,876,704512,0.259002685546875,-1.6828443855047226,0.02340185,0.0003,340,1.3066062103025615,0.5678100883960724,0.2,-0.008462124667858006,0.40294772386550903,,
,,,,,707904,0.25274658203125,-1.7329833004623652,0.022864973,0.0003,344,2.002872733399272,0.6638139188289642,0.2,-0.009762563851836603,0.4643605947494507,41.2,2.5820000000000007
223,25,76.83,-4.3245,914,712704,,,,,,,,,,,,
224,26,67.24,-2.4047,949,720896,0.246246337890625,-1.6858678190037608,0.02211051,0.0003,348,1.6594603820703924,0.6073180139064789,0.2,-0.008004734532732982,0.4536309242248535,,
,,,,,727904,0.24163818359375,-1.6247069705277681,0.022708427,0.0003,352,1.9440887616947293,0.6608099937438965,0.2,-0.006595733852009289,0.6538721919059753,80.4,-5.789999999999999
223,27,68.92,-3.0124,989,729088,,,,,,,,,,,,
224,28,75.8,-4.2307,1020,737280,0.248748779296875,-1.6453010402619839,0.022745982,0.0003,356,1.4849987109191716,0.6168164610862732,0.2,-0.009489095704338979,0.6178463101387024,,
225,29,75.76,-3.8895999999999993,1053,745472,0.238983154296875,-1.6254193866625428,0.021416195,0.0003,360,1.5311493901535869,0.684754490852356,0.2,-0.008360110961803002,0.5793934464454651,,
,,,,,747904,0.248626708984375,-1.6030656304210424,0.021446886,0.0003,364,2.119486901909113,0.5774465799331665,0.2,-0.005720079920138232,0.7649667263031006,22.0,6.608000000000001
225,30,78.11,-4.7813,1087,753664,,,,,,,,,,,,
227,31,72.15,-3.5460000000000003,1118,761856,0.237335205078125,-1.5852166349068284,0.021992914,0.0003,368,1.7903613927774131,0.5516112148761749,0.2,-0.005649643382639624,0.7247292995452881,,
,,,,,767904,0.2451171875,-1.608809830620885,0.021741519,0.0003,372,1.747848691418767,0.5522778630256653,0.2,-0.006374765936925542,0.5245574116706848,80.4,-5.837999999999999
226,32,64.89,-2.0641999999999996,1155,770048,,,,,,,,,,,,
227,33,69.5,-2.7528,1187,778240,0.246795654296875,-1.5490720989182591,0.024521338,0.0003,376,1.9311979208141565,0.6513704657554626,0.2,-0.008921105680201435,0.9607164263725281,,
