rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
-23.60625,247.3125,214,38,8192,1,,,,,,,,,,,,
-23.283076923076923,242.98461538461538,149,109,16384,2,-0.002919461789133493,0.5389722175896168,0.006829507,-2.1930451933294535,0.2,0.0809447169303894,0.0003,0.11478620022535324,4,0.03460693359375,,
-23.787628865979382,245.29896907216494,147,166,24576,3,-0.004779753915499896,0.5132160883513279,0.008807515,-2.1843717638403177,0.2,0.15996438264846802,0.0003,0.016168028116226196,8,0.063995361328125,,
-23.479,241.69,142,229,32768,4,-0.007123793060600292,0.3684689908986911,0.008497367,-2.177261469885707,0.2,0.36213594675064087,0.0003,0.034399062395095825,12,0.072296142578125,,
-22.823,237.93,140,292,40960,5,-0.007756863971735584,0.6365775014273822,0.011779292,-2.169581973925233,0.2,0.3453419804573059,0.0003,0.26210910081863403,16,0.120269775390625,,
-22.226999999999997,234.37,138,355,49152,6,-0.01066591743438039,0.9108902458101511,0.010473572,-2.1738580092787743,0.2,0.4726598262786865,0.0003,0.1543811410665512,20,0.097381591796875,,
,,,,50000,,-0.009562819588609273,0.8051189705729485,0.011854132,-2.170341143384576,0.2,0.5476071536540985,0.0003,0.14890091121196747,24,0.120697021484375,-25.0,250.0
-22.875,238.25,130,438,57344,7,,,,,,,,,,,,
-23.513999999999996,242.44,131,496,65536,8,-0.010684791574021801,1.0212890468537807,0.010643207,-2.163450252264738,0.2,0.4235016107559204,0.0003,0.37103474140167236,28,0.12799072265625,,
-22.881,238.51,132,554,73728,9,-0.015461445320397615,0.7372408066876233,0.012852781,-2.162096206098795,0.2,0.5682565271854401,0.0003,0.19097086787223816,32,0.14208984375,,
-22.525,236.45,133,612,81920,10,-0.009178512802463956,1.3778898778837174,0.011855694,-2.1503328289836645,0.2,0.36704516410827637,0.0003,0.397892028093338,36,0.11346435546875,,
-22.551,236.11,133,672,90112,11,-0.011188556891283952,1.104198396205902,0.012902021,-2.129001822322607,0.2,0.5935889780521393,0.0003,0.257625550031662,40,0.13958740234375,,
-22.858,238.98,134,730,98304,12,-0.009640877702622674,1.2506902338936925,0.01503742,-2.117754051461816,0.2,0.5726535618305206,0.0003,0.35276609659194946,44,0.15216064453125,,
,,,,100000,,-0.013914063885749783,1.3870118118356913,0.016701464,-2.130710557103157,0.2,0.38663071393966675,0.0003,0.3049544394016266,48,0.17822265625,-25.0,250.0
-23.53,243.3,131,808,106496,13,,,,,,,,,,,,
-22.353,236.43,132,866,114688,14,-0.01598241781903198,1.0411843582987785,0.013891518,-2.130333874374628,0.2,0.4368799328804016,0.0003,0.44688159227371216,52,0.164031982421875,,
-21.635,232.25,132,930,122880,15,-0.014032950544788036,1.5445380243472755,0.014313581,-2.127152344211936,0.2,0.432903528213501,0.0003,0.32453274726867676,56,0.166046142578125,,
-20.916999999999998,227.57,131,994,131072,16,-0.01376199926744448,1.35810432350263,0.016132522,-2.1247837636619806,0.2,0.5827603936195374,0.0003,0.6905103921890259,60,0.1915283203125,,
-22.31,236.1,130,1065,139264,17,-0.015318349229346495,0.9841587226837873,0.015445154,-2.1264513656497,0.2,0.4978255033493042,0.0003,0.31426775455474854,64,0.198028564453125,,
-22.989,239.49,130,1131,147456,18,-0.017109070111473557,0.9414593924302608,0.016529048,-2.112501449882984,0.2,0.5599053204059601,0.0003,0.22615264356136322,68,0.18121337890625,,
,,,,150000,,-0.013058864260528935,1.2961720284074545,0.016889088,-2.1129599809646606,0.2,0.34018075466156006,0.0003,0.384624183177948,72,0.202178955078125,-24.8,250.0
-22.941999999999997,239.32,125,1238,155648,19,,,,,,,,,,,,
-22.841000000000005,239.11,124,1316,163840,20,-0.01622285254052258,1.3087636730633676,0.017075516,-2.1046884581446648,0.2,0.5133676826953888,0.0003,0.5890077352523804,76,0.1982421875,,
-22.247000000000003,235.07,122,1399,172032,21,-0.02194834353213082,1.00855846516788,0.018028188,-2.10499014146626,0.2,0.5376642048358917,0.0003,0.26990681886672974,80,0.226715087890625,,
-22.119,234.19,121,1485,180224,22,-0.015872746917011682,1.2347410982474685,0.017112073,-2.098381256684661,0.2,0.4093959331512451,0.0003,0.3129013776779175,84,0.190093994140625,,
-22.003,233.03,119,1573,188416,23,-0.015876965862844372,1.3618790726177394,0.016785964,-2.089046597480774,0.2,0.39462006092071533,0.0003,0.21127673983573914,88,0.21478271484375,,
-22.306000000000004,234.96,118,1654,196608,24,-0.013683132594451308,1.4415244739502668,0.018992726,-2.095084946602583,0.2,0.3392239809036255,0.0003,0.2707081735134125,92,0.225677490234375,,
,,,,200000,,-0.015494303544983268,1.3204050809144974,0.019264668,-2.079614907503128,0.2,0.3913646340370178,0.0003,0.3963850438594818,96,0.2247314453125,-24.6,250.0
-22.660999999999998,237.51,117,1746,204800,25,,,,,,,,,,,,
-22.855,237.55,117,1819,212992,26,-0.017326082761428552,1.2811906533315778,0.021526445,-2.0743389297276735,0.2,0.47849488258361816,0.0003,0.2858330011367798,100,0.247039794921875,,
-23.221999999999998,240.32,117,1887,221184,27,-0.017744707933161408,1.195199392735958,0.018024486,-2.0667346324771643,0.2,0.457872211933136,0.0003,0.21815794706344604,104,0.213714599609375,,
-23.217000000000002,239.77,117,1960,229376,28,-0.018776684290060075,0.9942582449875772,0.019502655,-2.0712884180247784,0.2,0.5833546817302704,0.0003,0.2234850972890854,108,0.232421875,,
-22.94,238.6,116,2036,237568,29,-0.015693178105721017,1.3474827902391553,0.01629514,-2.065751051530242,0.2,0.44673794507980347,0.0003,0.45319533348083496,112,0.19464111328125,,
-22.893,238.03,116,2108,245760,30,-0.021314296249329345,1.1840492286719382,0.018517323,-2.0634567085653543,0.2,0.5388047099113464,0.0003,0.38514697551727295,116,0.21417236328125,,
,,,,250000,,-0.018162944550567772,1.1802500686608255,0.020041227,-2.0601276997476816,0.2,0.4139774441719055,0.0003,0.2425048053264618,120,0.22503662109375,-25.0,250.0
-23.614,243.44,114,2210,253952,31,,,,,,,,,,,,
-23.486000000000004,242.36,114,2284,262144,32,-0.019594544668507297,1.4375180997885764,0.016671583,-2.01659079734236,0.2,0.5033532679080963,0.0003,1.0758036375045776,124,0.223388671875,,
