rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
-19.7,181,1,22,4096,200.0,,,,,,,,,,,,
-19.2225,147,2,55,8192,196.725,0.0654032826423645,0.044921875,0.0003,0.005445711314678192,0.2,4,-0.003330525454657618,-2.192921444773674,0.254063340020366,0.008188063,,
-19.04590163934426,138,3,88,12288,195.54098360655738,0.03979623317718506,0.0421142578125,0.0003,0.08953164517879486,0.2,8,-0.0005330854328349233,-2.1786321736872196,0.7749351633246988,0.0057728,,
-19.2320987654321,138,4,118,16384,196.64197530864197,0.08745783567428589,0.090087890625,0.0003,0.33406686782836914,0.2,12,-0.001543678175949026,-2.1698683090507984,0.9798043635673821,0.0083156675,,
-19.037,132,5,155,20480,195.77,0.33784210681915283,0.11175537109375,0.0003,0.3330020606517792,0.2,16,-0.005269207351375371,-2.159787219017744,0.7876589153893292,0.010568155,,
-18.479,132,6,185,24576,192.69,0.22559618949890137,0.07049560546875,0.0003,0.30608654022216797,0.2,20,-0.0034130722779082134,-2.147258747369051,1.160559487529099,0.0052201916,,
,,,,25000,,0.4811135530471802,0.07855224609375,0.0003,0.5515198707580566,0.2,24,-0.0028403534888639115,-2.1445250511169434,1.3945672260597348,0.008781873,200.0,-20.0
-18.638,122,7,234,28672,193.68,,,,,,,,,,,,
-18.32,124,8,263,32768,192.1,0.44430166482925415,0.12127685546875,0.0003,0.4681427776813507,0.2,28,-0.008001360969501548,-2.1260359659790993,1.337046442553401,0.012683507,,
-18.31,126,9,291,36864,192.1,0.5758392810821533,0.09185791015625,0.0003,0.41121742129325867,0.2,32,-0.005319621282978915,-2.125470642000437,1.4006690252572298,0.00783589,,
-17.975,124,10,328,40960,189.95,0.5813640654087067,0.09051513671875,0.0003,0.5424467921257019,0.2,36,-0.003978647269832436,-2.102709259837866,1.2658032746985555,0.008738946,,
-18.311,125,11,358,45056,191.81,0.46859920024871826,0.11700439453125,0.0003,0.7146750688552856,0.2,40,-0.0060593630114453845,-2.1119182519614697,1.9267566939815879,0.010187533,,
-18.654,126,12,387,49152,193.54,0.6117739379405975,0.05712890625,0.0003,0.5302399396896362,0.2,44,-0.0032411714855697937,-2.0964303016662598,1.5063803503289819,0.0062206667,,
,,,,50000,,0.6151822507381439,0.09893798828125,0.0003,0.5709761381149292,0.2,48,-0.00760986641398631,-2.0913144424557686,1.5476190717890859,0.007995553,200.0,-20.0
-18.410999999999998,123,13,431,53248,192.21,,,,,,,,,,,,
-18.712,124,14,462,57344,193.92,0.44873225688934326,0.09356689453125,0.0003,0.6375957727432251,0.2,52,-0.007198035229521338,-2.1103120110929012,1.9401820600032806,0.008917691,,
-19.259,122,15,502,61440,197.09,0.5315094292163849,0.080078125,0.0003,0.48045146465301514,0.2,56,-0.0050001619310933165,-2.0893971994519234,1.6078655207529664,0.0075222994,,
-19.209,122,16,533,65536,197.09,0.5570758879184723,0.09490966796875,0.0003,0.5443664789199829,0.2,60,-0.005667724224622361,-2.092201814055443,1.4481041487306356,0.009397451,,
-18.977,123,17,564,69632,196.17,0.5423296988010406,0.0819091796875,0.0003,0.9638658761978149,0.2,64,-0.008999957834021188,-2.077720146626234,1.5404006140306592,0.007921305,,
-18.734,122,18,599,73728,194.54,0.25745558738708496,0.11395263671875,0.0003,1.4285856485366821,0.2,68,-0.006927955269929953,-2.0674641244113445,2.586941173300147,0.008290751,,
,,,,75000,,0.42443156242370605,0.085693359375,0.0003,0.9896699786186218,0.2,72,-0.005252760638541076,-2.0450667552649975,2.4404206685721874,0.009915841,200.0,-19.8
-18.774,119,19,649,77824,194.54,,,,,,,,,,,,
-18.774,117,20,694,81920,194.54,0.6156191229820251,0.102294921875,0.0003,0.5182409286499023,0.2,76,-0.008859999681590125,-2.041139055043459,1.883886649273336,0.011747984,,
-18.487000000000002,118,21,724,86016,192.57,0.5572903156280518,0.11474609375,0.0003,0.5900043845176697,0.2,80,-0.010449963963765185,-2.025201665237546,1.550628712400794,0.012199653,,
-19.065,119,22,756,90112,195.85,0.5753937065601349,0.10711669921875,0.0003,0.7433437705039978,0.2,84,-0.009686680165032158,-2.0402919463813305,1.7165083894506097,0.009815479,,
