time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/value_loss,train/loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/learning_rate
266,118.78125,-12.283750000000001,30,1,8192,,,,,,,,,,
219,118.86,-12.4952,74,2,16384,-0.03747892379760742,0.009049405,0.2,-2.191808510571718,1.0284228837117553,0.203811913728714,4,0.057708740234375,-0.0013092834105918882,0.0003
191,116.59,-12.064899999999998,128,3,24576,0.09046238660812378,0.007828825,0.2,-2.1825119871646166,1.0280572595074773,0.20780065655708313,8,0.053497314453125,-0.0036709419910039287,0.0003
189,117.64,-12.3601,172,4,32768,0.22158151865005493,0.006577297,0.2,-2.175616316497326,1.156435115262866,0.2566970884799957,12,0.047149658203125,-0.00467586048762314,0.0003
186,116.4,-12.183699999999998,219,5,40960,0.3751369118690491,0.008651127,0.2,-2.1701560132205486,1.1882876893505454,0.290377676486969,16,0.079803466796875,-0.009415851938683772,0.0003
188,118.27,-12.599299999999998,261,6,49152,0.3105320334434509,0.008179082,0.2,-2.161613827571273,1.527360268868506,0.8289902806282043,20,0.073974609375,-0.00705850373924477,0.0003
