time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,train/clip_range,train/approx_kl,train/n_updates
13,700,106496,152,-6.265200000000002,91.96,0.090545654296875,0.0003,-0.003860488584905397,6.66840579546988,5.9604645e-08,-2.090690167620778,1.693279504776001,0.2,0.014799667,48
14,753,114688,152,-5.830200000000002,89.96,0.035430908203125,0.0003,-0.001284713678614935,6.18305285833776,0.0,-2.0986790787428617,3.9144198894500732,0.2,0.0058751833,52
15,816,122880,150,-7.682899999999998,100.34,0.03863525390625,0.0003,0.00035311073224875145,6.660627583041787,0.0,-2.122696679085493,2.9547231197357178,0.2,0.007827833,56
16,868,131072,150,-7.5668,98.22,0.04217529296875,0.0003,-0.0015106169157661498,5.723082359880209,0.0,-2.0988157130777836,2.446868658065796,0.2,0.007995177,60
17,920,139264,151,-5.0421000000000005,87.21,0.041900634765625,0.0003,-0.0007347260398091748,5.6269660461694,0.0,-2.0882543958723545,2.4565541744232178,0.2,0.009688111,64
18,983,147456,149,-2.8231,78.46,0.04681396484375,0.0003,-0.0009787040035007522,7.978363987058401,0.0,-2.063274322077632,4.277245998382568,0.2,0.0073680063,68
19,1037,155648,150,-4.536300000000001,84.58,0.020660400390625,0.0003,-0.0009670736253610812,11.39421746879816,-1.1920929e-07,-2.040717678144574,5.584934234619141,0.2,0.009373041,72
20,1097,163840,149,-4.880799999999999,86.73,0.0355224609375,0.0003,-0.0007289591885637492,8.297997422516346,0.0,-2.019202483817935,3.259280204772949,0.2,0.004788927,76
21,1149,172032,149,-4.789300000000001,84.58,0.048004150390625,0.0003,-0.0010055378952529281,7.668144458904862,0.0,-2.0249990131706,3.734593629837036,0.2,0.0126929,80
22,1210,180224,148,-6.188599999999999,92.98,0.03204345703125,0.0003,-0.001195700740936445,7.3889058493077755,0.0,-1.998914884403348,2.745331048965454,0.2,0.007241511,84
23,1261,188416,149,-5.239,89.14,0.081146240234375,0.0003,-0.00374554135123617,7.118856126442552,0.0,-2.0118697555735707,2.988973379135132,0.2,0.011672808,88
24,1314,196608,149,-4.9248,86.96,0.03619384765625,0.0003,-0.001430303786037257,8.041601542383432,0.0,-1.983140779659152,3.2247495651245117,0.2,0.008517176,92
25,1376,204800,148,-6.1991,91.94,0.0455322265625,0.0003,-0.0008269411591754761,8.01434250921011,0.0,-1.9602509560063481,4.5503668785095215,0.2,0.008088391,96
26,1428,212992,149,-6.012899999999999,92.29,0.064697265625,0.0003,-0.0009326006365881767,6.406003886833787,1.1920929e-07,-1.9549033222720027,3.135669708251953,0.2,0.007841734,100
27,1489,221184,148,-5.872800000000001,92.04,0.054534912109375,0.0003,-0.00402301485883072,6.853507734835148,0.0,-1.954477859660983,2.5464835166931152,0.2,0.012989705,104
28,1541,229376,148,-4.2974,83.3,0.052642822265625,0.0003,-0.0006523142437799834,7.462705340236425,0.0,-1.9144637659192085,3.781784772872925,0.2,0.0094941165,108
29,1598,237568,148,-5.499100000000001,89.49,0.063507080078125,0.0003,-0.0014933352613297757,7.986593455076218,0.0,-1.9364027827978134,6.006920337677002,0.2,0.008879242,112
30,1670,245760,147,-5.4742999999999995,89.29,0.038787841796875,0.0003,-0.0007659749608137645,7.132774248719215,0.0,-1.9408046016469598,3.9012556076049805,0.2,0.0024291498,116
31,1724,253952,147,-5.5783000000000005,90.15,0.05859375,0.0003,-0.0017284599925915245,8.066444832831621,1.1920929e-07,-1.90763836260885,4.303569793701172,0.2,0.0056922566,120
32,1785,262144,146,-5.606700000000001,89.73,0.07440185546875,0.0003,-0.0029019869361945894,7.787432741373777,0.0,-1.9259655848145485,2.7352166175842285,0.2,0.010949239,124
33,1838,270336,147,-7.380900000000001,98.6,0.023773193359375,0.0003,-0.00040275141509482637,7.218991031870246,5.9604645e-08,-1.917650694027543,5.225714683532715,0.2,0.008319578,128
34,1891,278528,147,-6.514600000000001,94.22,0.041656494140625,0.0003,-0.00024101534472720232,5.217444863170385,1.1920929e-07,-1.9331446075811982,2.1042494773864746,0.2,0.008832373,132
35,1953,286720,146,-6.1441,90.71,0.0621337890625,0.0003,-0.0022557892589247786,7.482896717265248,0.0,-1.909491310827434,2.863030433654785,0.2,0.006960399,136
