rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
103.46,131,870,-5.0056199999999995,3099232,28,0.7127772271633148,0.6681613326072693,1760,1.9681720715016127,0.2,-0.014175467142194975,0.039778046,0.27911376953125,-1.3088167533278465,0.0003,,
109.84,131,900,-5.90178,3103328,29,0.709402471780777,0.47116243839263916,1764,2.2994621880352497,0.2,-0.014244611142203212,0.04478025,0.31817626953125,-1.3175597973167896,0.0003,,
,,,,3104544,,0.7291567921638489,0.4798699617385864,1768,2.0596531741321087,0.2,-0.008915414422517642,0.04554334,0.30389404296875,-1.293690463528037,0.0003,145.4,-12.444799999999999
104.81,129,951,-5.36232,3107424,30,,,,,,,,,,,,
113.98,129,982,-7.031359999999999,3111520,31,0.6276153922080994,0.5773419737815857,1772,2.074912599287927,0.2,-0.011436022708949167,0.042204928,0.30438232421875,-1.4570050481706858,0.0003,,
101.47,129,1015,-4.770239999999999,3115616,32,0.6999474465847015,0.6589024066925049,1776,1.894836250692606,0.2,-0.013059719451121055,0.039100252,0.2880859375,-1.4141084346920252,0.0003,,
94.47,129,1044,-3.422840000000001,3119712,33,0.7028517723083496,0.2963573634624481,1780,2.060025278478861,0.2,-0.011838743710541166,0.044781037,0.299072265625,-1.4218067489564419,0.0003,,
93.2,129,1072,-3.4693,3123808,34,0.7470932006835938,0.7241606712341309,1784,1.9710139781236649,0.2,-0.013208594093157444,0.037224457,0.29156494140625,-1.3783987537026405,0.0003,,
,,,,3124544,,0.7127358317375183,0.48997512459754944,1788,1.955814829096198,0.2,-0.013803097237541806,0.045984864,0.30377197265625,-1.3790139202028513,0.0003,180.0,-18.36
104.17,127,1122,-5.472639999999999,3127904,35,,,,,,,,,,,,
110.71,128,1150,-6.56892,3132000,36,0.7034618556499481,0.17198941111564636,1792,1.561616017948836,0.2,-0.013810659424052574,0.037108146,0.31488037109375,-1.3953213784843683,0.0003,,
112.07,128,1181,-6.850740000000001,3136096,37,0.6343443989753723,0.7129865288734436,1796,2.1769648967310786,0.2,-0.009634084170102142,0.04494061,0.29669189453125,-1.36631472222507,0.0003,,
104.65,128,1208,-5.551000000000001,3140192,38,0.6666145324707031,0.5945554971694946,1800,2.2265470903366804,0.2,-0.013467221986502409,0.045681834,0.3218994140625,-1.4384290855377913,0.0003,,
101.3,129,1234,-5.0201,3144288,39,0.6713527143001556,0.33282679319381714,1804,1.8259215699508786,0.2,-0.014537556577124633,0.046780262,0.34405517578125,-1.430970536544919,0.0003,,
,,,,3144544,,0.7001698315143585,0.5365079641342163,1808,1.927770096808672,0.2,-0.015198698180029169,0.038097065,0.3092041015625,-1.3388736117631197,0.0003,145.6,-13.0612
106.82,128,1276,-6.024340000000002,3148384,40,,,,,,,,,,,,
116.58,128,1308,-7.8224599999999995,3152480,41,0.7185990214347839,0.4598456919193268,1812,1.7562896814197302,0.2,-0.009201772962114774,0.03826696,0.2828369140625,-1.4571556877344847,0.0003,,
114.04,127,1346,-7.486279999999999,3156576,42,0.7715389877557755,0.5222316980361938,1816,2.070027546957135,0.2,-0.017735792338498868,0.044467866,0.306884765625,-1.3392732739448547,0.0003,,
100.58,127,1386,-4.93566,3160672,43,0.6787274479866028,0.7293764352798462,1820,2.450821816921234,0.2,-0.01082030801626388,0.03866689,0.29034423828125,-1.3832296337932348,0.0003,,
,,,,3164544,,0.7358948886394501,0.460757851600647,1824,2.160420031286776,0.2,-0.013295067212311551,0.04679711,0.30224609375,-1.4145582560449839,0.0003,147.8,-12.7096
91.52,125,1438,-2.9986400000000004,3164768,44,,,,,,,,,,,,
97.26,124,1474,-4.35892,3168864,45,0.7234908640384674,0.4691207706928253,1828,2.0910244677215815,0.2,-0.018417732120724395,0.05320296,0.30816650390625,-1.3125688582658768,0.0003,,
100.07,125,1506,-4.65894,3172960,46,0.7268567681312561,0.46537718176841736,1832,1.9831570163369179,0.2,-0.012667064780544024,0.044336542,0.29754638671875,-1.3477243222296238,0.0003,,
115.04,125,1536,-7.205479999999999,3177056,47,0.732234537601471,0.6881870031356812,1836,2.0674130683764815,0.2,-0.01421468227636069,0.041264035,0.30694580078125,-1.3489592131227255,0.0003,,
102.47,125,1566,-4.984639999999999,3181152,48,0.6634590923786163,0.8366004824638367,1840,2.518279481679201,0.2,-0.011699857874191366,0.04101302,0.2850341796875,-1.4167926851660013,0.0003,,
,,,,3184544,,0.7211256325244904,0.5026811957359314,1844,2.4484857749193907,0.2,-0.01135125695145689,0.04647476,0.2890625,-1.2599214147776365,0.0003,144.8,-13.407600000000002
106.61,124,1613,-5.7770199999999985,3185248,49,,,,,,,,,,,,
