time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/n_updates,train/approx_kl,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
,,2823424,,,,0.7115499973297119,1376,0.02317569,-1.7245567319914699,0.0003,0.37052541971206665,1.9032947132363915,0.280303955078125,-0.008413117277086712,0.2,-16.002000000000002,160.0
98,3611,2826240,158.81,-16.028299999999998,222,,,,,,,,,,,,
99,3647,2834432,151.95,-14.718300000000001,222,0.8116204142570496,1380,0.026217086,-1.6630373913794756,0.0003,0.4188849925994873,2.056379140354693,0.27838134765625,-0.012728666595648974,0.2,,
100,3682,2842624,150.7,-14.477000000000002,222,0.6318584084510803,1384,0.024181357,-1.6688187066465616,0.0003,0.3253876566886902,2.0489491536282003,0.286834716796875,-0.005638793092657579,0.2,,
101,3718,2850816,156.26,-15.506400000000001,222,1.3012362718582153,1388,0.024046129,-1.6981785306707025,0.0003,0.44852215051651,2.2062243884429336,0.266998291015625,-0.005210988347243983,0.2,,
102,3755,2859008,158.49,-15.829,222,0.5930080413818359,1392,0.026051942,-1.723105674609542,0.0003,0.48375147581100464,1.5977720273658633,0.27642822265625,-0.008658665508846752,0.2,,
103,3792,2867200,149.8,-14.284599999999998,222,0.8246800899505615,1396,0.023388479,-1.711063108406961,0.0003,0.462952196598053,1.9199600974097848,0.257598876953125,-0.009060607819264987,0.2,,
,,2873424,,,,0.951452910900116,1400,0.02428407,-1.6723441183567047,0.0003,0.4028804302215576,2.2726277615875006,0.273529052734375,-0.005089089627290377,0.2,-16.119999999999997,160.0
104,3849,2875392,146.38,-13.5078,221,,,,,,,,,,,,
105,3891,2883584,155.09,-15.098999999999998,221,1.1730716228485107,1404,0.023473997,-1.7154604848474264,0.0003,0.3711767792701721,2.6833021035417914,0.257537841796875,-0.006400645750545664,0.2,,
106,3934,2891776,154.73,-15.1393,220,1.1990326642990112,1408,0.02497704,-1.6910580983385444,0.0003,0.46882396936416626,1.9411638444289565,0.265380859375,-0.004719231314084027,0.2,,
107,3980,2899968,154.86,-15.196999999999997,220,0.7619839310646057,1412,0.029139455,-1.6870381832122803,0.0003,0.49708908796310425,1.8604717766866088,0.26849365234375,-0.008977969548141118,0.2,,
108,4025,2908160,152.9,-14.8333,219,0.8216827511787415,1416,0.023924539,-1.70268630143255,0.0003,0.4753628969192505,1.8403580477461219,0.268096923828125,-0.00997207406180678,0.2,,
109,4067,2916352,152.57,-14.8851,219,0.6260846257209778,1420,0.024763733,-1.6379255428910255,0.0003,0.41164088249206543,2.1810430232435465,0.268951416015625,-0.00729248255447601,0.2,,
,,2923424,,,,0.5958680510520935,1424,0.024244815,-1.625379185192287,0.0003,0.44078028202056885,1.854050218127668,0.260894775390625,-0.009702287654363317,0.2,-16.006000000000004,160.0
